name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url
Cơm Tấm 1945 - Ao Sen,QUÁN ĂN,"Số 5 Ngõ 36 Ao sen, P. Mộ Lao, Hà Đông, Hà Nội",Giảm hết 20%,3.5,100+,Mở cửa,08:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/com-tam-1945-ao-sen
"SamFood - Bánh Xèo, Xiên Chiên & Mì Cay Hải Sản - Hà Trì 1",QUÁN ĂN,"31 Hà Trì 1, P. Hà Cầu, Hà Đông, Hà Nội",Giảm món,4.5,100+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/samfood-banh-xeo-xien-chien-mi-cay-hai-san-ha-tri-1
Nem Nướng Phở Cuốn Nguyên Xá - Cầu Diễn,QUÁN ĂN,"132/63 Cầu Diễn, P. Minh Khai, Bắc Từ Liêm, Hà Nội",Giảm món,4.5,999+,Mở cửa,00:00 - 23:59,30.000 - 60.000,https://shopeefood.vn/ha-noi/nem-nuong-pho-cuon-nguyen-xa-cau-dien
Green Life - Cơm Văn Phòng - Đại Kim,QUÁN ĂN,"48B2 KĐT Đại Kim, P.Định Công, Hoàng Mai, Hà Nội",Giảm món,4.5,9,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/green-life-com-van-phong-dai-kim
A BuBu - Mì Trộn Indomie Chuẩn Vị - Shop Online,SHOP ONLINE,"552 Nguyễn Khoái, P. Thanh Trì, Hoàng Mai, Hà Nội",Giảm hết 30%,4.5,500+,Đóng cửa,,10.000 - 45.000,https://shopeefood.vn/ha-noi/a-bubu-mi-tron-indomie-chuan-vi-shop-online
Chân Gà Nướng 79 - Định Công,"Yêu thích
NHÀ HÀNG","209D Định Công, P. Định Công, Hoàng Mai, Hà Nội",Giảm món,4.5,500+,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/chan-ga-nuong-79-dinh-cong
Thế Giới Khay Hoa Quả Gọt Sẵn - Bánh Mỳ Kẹp & Đồ Ăn Vặt - Thái Thịnh 1,SHOP ONLINE,"121 Thái Thịnh 1, P. Thịnh Quang, Đống Đa, Hà Nội",Giảm món,4.5,100+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/the-gioi-khay-hoa-qua-got-san-banh-my-kep-do-an-vat-thai-thinh-1
CleanFastFood - Thế Giới Đồ Ăn Vặt - Vinhomes Smart City,ĂN VẶT/VỈA HÈ,"Toà S201, Vinhomes Smart City Đại Lộ Thăng Long, P. Tây Mỗ, Nam Từ Liêm, Hà Nội",Giảm món,4.5,100+,Mở cửa,10:00 - 23:59,5.000 - 399.000,https://shopeefood.vn/ha-noi/cleanfastfood-the-gioi-do-an-vat-vinhomes-smart-city
Bear Coffee & Tea - Tiệm Nhà Gấu,CAFÉ/DESSERT,"9B Hồng Tiến, P. Bồ Đề, Long Biên, Hà Nội",Giảm hết 25%,0,2,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/bear-coffee-tea-tiem-nha-gau
Hương Tròn - Mì Trộn Indomie & Đồ Ăn Vặt - Bùi Xương Trạch,QUÁN ĂN -Chi nhánh,"81 Ngõ 1 Bùi Xương Trạch, P. Khương Đình, Thanh Xuân, Hà Nội",Giảm món,4.5,999+,Mở cửa,00:00 - 23:59,10.000 - 50.000,https://shopeefood.vn/ha-noi/huong-tron-mi-tron-indomie-do-an-vat-bui-xuong-trach
